Waiting for data. Press Ctrl+C to end.
Source  Event                  Ch  Data
 16:0   Program change          0, program 0
 16:0   Program change          0, program 0
 16:0   Program change          0, program 0
 16:0   Program change          0, program 0
 16:0   Program change          0, program 0
 16:0   Program change          0, program 0
 16:0   Program change          0, program 0
 16:0   Program change          0, program 0
 16:0   Program change          0, program 0
 16:0   Program change          0, program 0
 16:0   Program change          0, program 0
 16:0   Program change          0, program 0
